protein_accession	CAZy_family	CSDB_Linear_corrected
ACV67297.1		-4)[Ac(1-2)]bDGlcpN(1-4)bDManp(1-4)aDManp(1-3)[Ac(1-2)]bDGlcpN(1-
ACA24739.1		-2)bDGalp(1-4)[50%Ac(1-6),aLRhap(1-3)]bDManp(1-3)bDManp(1-4)bDGlcpA(1-3)[Ac(1-2)]aDGlcpN(1-
BAQ01238.1		-6)[aLFucp(1-2)]bDGlcp(1-3)[Ac(1-2)]bDGalpN(1-4)bDGlcpA(1-3)[aLFucp(1-4),Ac(1-2)]bDGlcpN(1-
WP_016238111.1	X631	-6)[Ac(1-2)]bDGalpN(1-4)[xDGro(1-P-3),Ac(1-2)]bDGalpN(1-4)[aDGalp(1-6)]bDGlcp(1-3)[Ac(1-2)]bDGalpN(1-
BAQ01266.1		-4)[lDGroA(2-P-6)]aDGlcp(1-4)bDGalp(1-4)bDGlcp(1-3)[Ac(1-2)]bDGlcpN(1-
BAQ01277.1		-6)aDGlcp(1-4)bDGlcpA(1-6)bDGalp(1-4)bDGalp(1-4)[Ac(1-2)]bDGlcpN(1-
BAQ01293.1		-2)[Ac(1-2)[<<Ac(1-4)|Ac(1-3)>>]aD6dTalp(1-3)]bLFucp(1-P-4)aDGlcp(1-3)aLFucp(1-3)[Ac(1-2)]bDGlcpN(1-
ADC54974.1		-2)[aDGalf(1-4)]aDGalp(1-3)[Ac(1-2)]bDManpN(1-6)bDGalf(1-3)[Ac(1-2)]bDGlcpN(1-
AAO37717.1		-3)[Ac(1-2)]bDGalpN(1-4)aLFucp(1-2)[aDGalp(1-3)]bDGalp(1-3)[Ac(1-2)]aDGalpN(1-
ACA24901.1		-3)bDGalf(1-4)aDGalp(1-3)[Ac(1-4)]aDGalpA(1-3)[Ac(1-2)]bDGalpN(1-
BAQ01317.1		-4)[aL6dTalp(1-3)]aDManp(1-3)aDManp(1-3)[Ac(1-2)]bDGlcpN(1-
BAQ01361.1		-4)[<<Ac(1-3)|Ac(1-2)>>]aLFucp(1-2)bDGalp(1-3)[Ac(1-2)]aDGalpN(1-3)[Ac(1-2)]bDGalpN(1-
AAK60458.1		-4)[lR3HOBut(1-3)]aDQuip3N(1-4)bDGalp(1-4)[Ac(1-2)]bDGlcpN(1-4)[xXGly(2-6)]bDGlcpA(1-3)[Ac(1-2)]bDGlcpN(1-
BAQ01386.1		
BAQ01419.1		-2)[bDGalf(1-4)]aDGlcpA(1-4)[Ac(1-2)]bDGlcpN(1-5)bDGalf(1-3)[Ac(1-2)]bDGlcpN(1-
ABB04486.1		-3)[Ac(1-2)]aLQuipN(1-4)[Ac(1-2)]aDGalpNA(1-3)[Ac(1-2)]aLQuipN(1-3)[Ac(1-2)]bDGlcpN(1-
BAQ01456.1		-2)[xDGro(1-P-3)]aLRhap(1-3)aLRhap(1-3)aDGalp(1-3)[Ac(1-2)]bDGlcpN(1-
AAK64372.1	X617	-4)aDGalp(1-4)[Ac(1-9),Ac(1-7),Ac(1-5)]aXNeup(2-3)bDGalp(1-3)[Ac(1-2)]bDGalpN(1-
ACA24829.1	X617	-3)[bDRibf(1-4)aDGlcpA(1-2)]aLRhap(1-3)bLRhap(1-4)aLRhap(1-3)[Ac(1-2)]bDGlcpN(1-
ACH97132.1	X608	-4)[Ac(1-2)]bDGalpN(1-3)aLRhap(1-4)[Ac(1-2)]aDGlcpN(1-4)bDGalp(1-3)[Ac(1-2)]aDGalpN(1-
BAQ01516.1		-4)[Ac(1-7),Ac(1-5)]aX8eLegp(2-6)aDGalp(1-3)[Ac(1-2)]aLFucpN(1-3)[Ac(1-2)]aDGlcpN(1-
ADR74237.1		-4)[Ac(1-2)[Ac(1-4),Ac(1-3)]bLRhapN3N(1-3)]aDGlcp(1-3)[Ac(1-2)]aL6dTalp(1-3)[Ac(1-2)]bDGlcpN(1-
BAQ01533.1		-4)[xDaThr(2-6)]aDGlcpA(1-4)aDGalp(1-3)aDGalp(1-3)[Ac(1-2)]bDGlcpN(1-
ACD37086.1		-4)[Ac(1-2)bDGlcpN(1-3),Ac(1-2)]aDGalpN(1-4)aDGlcp(1-4)aLIdopA(1-3)[Ac(1-2)]bDGalpN(1-
ACD37014.1		-4)[xSPyr(2-6:2-4)[Ac(1-2)]bDGlcpN(1-3),Ac(1-2)]aDGalpN(1-4)aDGlcp(1-4)bDGalp(1-3)[Ac(1-2)]bDGalpN(1-
AAD50486.1		-4)[bDGalp(1-3),Ac(1-2)]aDGalpN(1-4)aDGalpA(1-3)aDGalp(1-3)[Ac(1-2)]bDGlcpN(1-
AAT77177.1	X606	-4)[Ac(1-2)xLSer(1-3)]bDQuip3N(1-3)bDRibf(1-4)bDGalp(1-3)[Ac(1-2)]aDGlcpN(1-
ADN43838.1		-3)[bLRhap(1-4),Ac(1-2)]bDGlcpN(1-4)aDGalpA(1-3)aDManp(1-3)[Ac(1-2)]bDGlcpN(1-
BAQ01563.1		-2)[Ac(1-4)]bDQuip4N(1-6)[Ac(1-2)]aDGlcpN(1-4)[Ac(1-2)]aDGalpN(1-4)aDGalpA(1-3)[Ac(1-2)]bDGlcpN(1-
ADQ37335.1	X617	-3)xDRib-ol(5-P-6)aDGalp(1-3)[Am(1-2)]aLFucpN(1-3)[Ac(1-2)]bDGlcpN(1-
ADB02825.1		-2)[Ac(1-2)[Fo(1-3)]bLRhapN3N(1-3)]bDManp(1-3)aDGalp(1-4)aLRhap(1-3)[Ac(1-2)]aDGlcpN(1-
BAQ01584.1	X631	-3)[aLRhap(1-4)]aDGlcpA(1-2)aLRhap(1-2)aLRhap(1-2)aDGalp(1-3)[Ac(1-2)]bDGalpN(1-
ABG81806.1	X633	-3)[lS3HOBut(1-2)xDAla?(1-4)]bDQuip4N(1-6)[Ac(1-2)]aDGlcpN(1-3)[Ac(1-2)]aLQuipN(1-3)[30%Ac(1-6),Ac(1-2)]aDGlcpN(1-
BAQ02068.1	X633	-3)[lS3HOBut(1-2)xDAla?(1-4)]bDQuip4N(1-6)aDGlcp(1-3)[Ac(1-2)]aLQuipN(1-3)[80%Ac(1-6),Ac(1-2)]aDGlcpN(1-
ACD37138.1		-3)[lRLac(2-4)bDGlcp(1-6)aDGlcp(1-4)]bDGalp(1-6)bDGalf(1-3)[Ac(1-2)]bDGalpN(1-
ACD37146.1		-3)[bDGlcp(1-6)aDGlcp(1-4)]bDGalp(1-6)bDGalf(1-3)[Ac(1-2)]bDGalpN(1-
BAQ01598.1		
AAO37701.1		-6)[aLFucp(1-2)]bDGalp(1-3)[Ac(1-2)]bDGalpN(1-4)aDGalp(1-3)[Ac(1-2)]bDGalpN(1-
ACD37157.1		-4)[Ac(1-2)[x?Gro(2-P-4)]bDGalpN(1-3)]aDGalp(1-6)bDGlcp(1-3)[Ac(1-2)]bDGalpN(1-
BAQ01641.1	X631	-8)[Ac(1-5)]aXNeup(2-6)bDGalp(1-6)bDGalp(1-3)[Ac(1-2)]bDGalpN(1-
BAQ01659.1	X605	-2)aDGalf(1-3)[Ac(1-2)]aLRhap(1-4)aDGlcp(1-2)aLRhap(1-3)[Ac(1-2)]bDGlcpN(1-
BAQ01675.1	X612	-3)aLRhap(1-2)aLRhap(1-2)aLRhap(1-4)[aDGlcp(1-3)]aDGalpA(1-3)[Ac(1-2)]aDGlcpN(1-
BAQ01702.1		-4)[Ac(1-7),Ac(1-5)]bXPsep(2-4)bDGalp(1-4)[Ac(1-2)]bDGlcpN(1-
AAZ85713.1	X614	-2)aLRhap(1-3)aLRhap(1-4)[Ac(1-2)]aDGalpNA(1-3)[Ac(1-2)]bDGlcpN(1-
AAZ85718.1	X612	-3)aLRhap(1-4)aDGalpA(1-2)[bDGlcp(1-3)]aLRhap(1-3)aLRhap(1-2)aLRhap(1-3)[Ac(1-2)]aDGlcpN(1-
BAQ01716.1		-3)[aDGalf(1-2)aLRhap(1-4)]bDGalp(1-4)aDGlcp(1-4)bDGlcpA(1-3)[Ac(1-2)]bDGalpN(1-
ABI98976.1		-4)[aLRhap(1-3),bDGlcpA(1-2)]aDManp(1-3)[Ac(1-6)]aDManp(1-3)[Ac(1-2)]bDGlcpN(1-
BAQ01732.1	X612	-2)aLRhap(1-6)[Ac(1-2)]aDGalpN(1-4)[Ac(1-2)bDGlcpN(1-3),Ac(1-2)]aDGalpN(1-3)[Ac(1-2)]aDGalpN(1-
ACA24764.1	X605	-2)[x?GroN(2-6),%Ac(1-4),%Ac(1-3)]bDGalpA(1-3)[Ac(1-2)]aDGalpN(1-4)bDGlcpA(1-3)[Ac(1-2)]bDGlcpN(1-
BAQ01743.1	X631	
ABE98437.1		-2)[lSLac(2-3)aDGlcp(1-3)]aLRhap(1-2)aLRhap(1-4)bDGalp(1-3)[Ac(1-2)]bDGalpN(1-
ABI98986.1		-2)aLRhap(1-2)aLRhap(1-4)bDGalpA(1-3)[Ac(1-2)]bDGalpN(1-
ABI98966.1		-3)[xSPyr(2-6:2-4),Ac(1-2)]bDGlcpN(1-3)bLRhap(1-4)[Ac(1-2)]bDGlcpN(1-
ACA24803.1		-3)[lSLac(2-4),Ac(1-2)]bDGlcpN(1-2)aLRhap(1-2)aLRhap(1-3)[bDGlcp(1-2)]aLRhap(1-3)[Ac(1-2)]bDGlcpN(1-
ACA24821.1	X617	-3)[bLRhap(1-4),Ac(1-2)]aDGlcpN(1-P-6)aDGlcp(1-2)bDGlcp(1-3)[Ac(1-2)]bDGlcpN(1-
AJE24464.1		-2)bDRibf(1-4)bDGalp(1-4)[Ac(1-2)]aDGlcpN(1-4)bDGalp(1-3)[Ac(1-2)]aDGlcpN(1-
BAQ01780.1		-2)[Ac(1-2)aDManpN(1-3)]aLRhap(1-3)aLRhap(1-3)aLRhap(1-3)[Ac(1-2)]aDGalpN(1-
AAV74550.1		-3)[bDGalpA(1-4)]aDGalp(1-3)[aDGalp(1-6)]bDGalp(1-3)[Ac(1-2)]bDGalpN(1-
BAQ01793.1		-4)[xRPyr(2-6:2-4)[Ac(1-2)]aDGalp(1-3)]aLFucp(1-6)aDGalp(1-3)aLFucp(1-3)[Ac(1-2)]bDGlcpN(1-
ADN43871.1		-4)[bDGlcp(1-6),Ac(1-3)[Ac(1-4)]aLRhap(1-3),Ac(1-2)]bDManpN(1-4)aDGalpA(1-3)[Ac(1-2)]bDGlcpN(1-
ACA24890.1		-3)[aLFucp(1-4),Ac(1-2)]bDGlcpN(1-4)aDGalpA(1-3)aLFucp(1-3)[Ac(1-2)]bDGlcpN(1-
BAQ01812.1		-4)[bDGlcp(1-6),Ac(1-2)]bDGlcpN(1-3)aDGalp(1-P-6)bDGalp(1-3)[Ac(1-2)]bDGalpN(1-
ADJ19203.1		-8)[xDAla?(1-7),Ac(1-5)]aXLegp(2-4)bDGlcpA(1-3)[Ac(1-2)]bDGlcpN(1-
BAQ01843.1	X633	-2)bDManp(1-4)bDGlcpA(1-3)[Ac(1-2)]aLQuipN(1-3)[Ac(1-2)]aDGlcpN(1-
ADN43883.1		-8)[Ac(1-7),lR3HOBut(1-5)]aXPsep(2-6)bDGalp(1-4)bDGlcp(1-3)[Ac(1-2)]aDGlcpN(1-
ADC54957.1	X617	-3)aDGalp(1-6)aDGalp(1-4)[bDGlcp(1-3),Ac(1-2)]aDGalpN(1-3)[Ac(1-2)]bDGalpN(1-
ACD37046.1	X605	-2)[xLAla?(2-6),aDGalf(1-4)]bDGalpA(1-3)[Ac(1-2)]aDGlcpN(1-2)bDGalf(1-5)bDGalf(1-3)[Ac(1-2)]bDGlcpN(1-
ACD36996.1		-4)[Ac(1-6),aLFucp(1-3),Ac(1-2)]aDGlcpN(1-4)aDGlcpA(1-3)aLFucp(1-3)[Ac(1-2)]bDGlcpN(1-
BAQ01860.1	X617	-3)[bDGlcp(1-6),bDGlcpA(1-4)]aDGalp(1-6)aDManp(1-2)aDManp(1-3)[Ac(1-2)]bDGalpN(1-
BAQ01878.1		-4)[bDGalf(1-3),Ac(1-2)]bDGlcpN(1-4)bDGlcpA(1-3)bDGalf(1-3)[Ac(1-2)]bDGlcpN(1-
BAQ01894.1		-4)[<<Ac(1-9)|Ac(1-7)>>,Ac(1-5)]aXNeup(2-6)bDGalp(1-6)bDGlcp(1-3)bDGalp(1-3)[Ac(1-2)]bDGalpN(1-
AAT28922.1		-3)[Ac(1-2)]aLFucpN(1-4)[Ac(1-6)]aDGlcp(1-P-4)aDGlcp(1-3)[Ac(1-2)]aLFucpN(1-3)[Ac(1-2)]aDGlcpN(1-
ADN43894.1	X617	-3)[aLFucp(1-4)]aDGlcp(1-P-6)aDGlcp(1-2)bDGlcp(1-3)[Ac(1-2)]bDGlcpN(1-
AAY28249.1		-4)[Ac(1-2)bDGlcpN(1-2)]bDGlcpA(1-3)bDGalp(1-3)[Ac(1-2)]bDGalpN(1-
BAQ01917.1		-2)aDGlcp(1-4)aDGlcpA(1-3)aDManp(1-2)aDManp(1-3)[Ac(1-2)]bDGalpN(1-
BAQ01935.1		-4)aDManp(1-2)aDManp(1-2)bDManp(1-3)[Ac(1-2)]aDGalpN(1-
AAY28257.1	X614	-2)aLRhap(1-3)[Ac(1-2)]aLFucpN(1-3)[Ac(1-2)]aLFucpN(1-3)[Ac(1-2)]bDGlcpN(1-
BAQ01960.1		-4)aDGlcpA(1-3)[bDGlcp(1-2)]bDManp(1-4)bDManp(1-3)[Ac(1-2)]bDGlcpN(1-
AFN02899.1	X606	-4)[Ac(1-3),Ac(1-2)]bDManpN3NA(1-2)aLRhap(1-3)bLRhap(1-4)[Ac(1-2)]aDGlcpN(1-
BAQ02015.1		-4)[Ac(1-2)[Ac(1-3)]bLRhapN3N(1-3),Ac(1-2)]bDGlcpN(1-4)bDGlcpA(1-3)[Ac(1-2)]bDGlcpN(1-
BAQ02031.1		-2)[lR3HOBut(1-3)]aDFucp3N(1-3)[70%Ac(1-6)]aDManp(1-3)aLFucp(1-3)[Ac(1-2)]aDGalpN(1-
BAQ02048.1	X608	-4)[Ac(1-2)]bDGalpN(1-4)bDGlcpA(1-3)bDRibf(1-4)bDGalp(1-3)[Ac(1-2)]aDGalpN(1-
BAQ02088.1	X605	-2)[Ac(1-3)]bDFucp3N(1-3)[Ac(1-2)]aDGlcpN(1-4)aDGlcpA(1-3)aDManp(1-2)aDManp(1-3)[Ac(1-2)]bDGlcpN(1-
AFC91458.1	X610	-2)bDGlcp(1-3)[Ac(1-2)]aL6dTalp(1-3)[Ac(1-2)]aDFucpN(1-
AFC91419.1	X610	-2)bDGlcp(1-3)[Ac(1-2)]aL6dTalp(1-3)[Ac(1-2)]aDFucpN(1-
AAX07747.1	X610	-2)bDGlcp(1-3)[Ac(1-2)]aL6dTalp(1-3)[Ac(1-2)]aDFucpN(1-
WP_000482333.1		-6)[aXColp(1-2)bDGalp(1-3),Ac(1-2)]bDGlcpN(1-3)aDGalp(1-3)[Ac(1-2)]bDGalpN(1-
BAG11898.1		-6)[aXColp(1-2)bDGalp(1-3),Ac(1-2)]bDGlcpN(1-3)aDGalp(1-3)[Ac(1-2)]bDGalpN(1-
ADC54929.1		-3)[Ac(1-2)bDManpN(1-2)]aLRhap(1-3)aLRhap(1-3)bLRhap(1-4)[Ac(1-2)]bDGlcpN(1-
ACH97152.1		-3)[Ac(1-2)bLRhapN(1-4),Ac(1-2)]bDGlcpN(1-3)[aDGlcp(1-4)]aDGalp(1-3)[Ac(1-2)]bDGlcpN(1-
AAT85653.1	X617	-3)[Ac(1-2)]bDGlcpN(1-2)[aDGlcp(1-3)]aLRhap(1-6)aDGlcp(1-3)[Ac(1-2)]aLFucpN(1-
BAQ00569.1	X606	-4)[Ac(1-3)]bDQuip3N(1-3)bDRibf(1-4)bDGalp(1-3)[Ac(1-2)]aDGalpN(1-
CAD19991.1	X608	-4)[Ac(1-2)]aDGalpN(1-3)[bDGlcp(1-2)]bDManp(1-4)bDManp(1-3)[Ac(1-2)]aDGlcpN(1-
WP_000864940.1	X608	-4)[Ac(1-2)]aDGalpN(1-3)[bDGlcp(1-2)]bDManp(1-4)bDManp(1-3)[Ac(1-2)]aDGlcpN(1-
ADT75640.1	X608	-4)[Ac(1-2)]aDGalpN(1-3)[bDGlcp(1-2)]bDManp(1-4)bDManp(1-3)[Ac(1-2)]aDGlcpN(1-
AAD44158.1	X633	-3)[Ac(1-4)]bDQuip4N(1-2)[aLRhap(1-3)]aDManp(1-4)bDGalp(1-3)[Ac(1-2)]aDGlcpN(1-
BAH24292.1	X633	-3)[Ac(1-4)]bDQuip4N(1-2)[aLRhap(1-3)]aDManp(1-4)bDGalp(1-3)[Ac(1-2)]aDGlcpN(1-
BAQ00622.1	X617	-3)[<<60%Ac(1-4)|40%lR3HOBut(1-4)>>aDFucp4N(1-2)]aLRhap(1-3)aLRhap(1-3)aDGalp(1-3)[Ac(1-2)]bDGlcpN(1-
ACD75796.1		-2)[Ac(1-2)xDaThr(1-3)]bDQuip3N(1-2)bDRibf(1-4)bDGalp(1-3)[Ac(1-2)]aDGlcpN(1- // aThr = (2R,3R) for D-allo-threonine
BAQ01494.1		-4)[aLRhap(1-4)[Ac(1-2)]bDGalpN(1-3)]aDGalp(1-6)bDGlcp(1-3)[Ac(1-2)]bDGalpN(1-
AFS33314.1		-4)[aLRhap(1-4)[Ac(1-2)]bDGalpN(1-3)]aDGalp(1-6)bDGlcp(1-3)[Ac(1-2)]bDGalpN(1-
ACH97143.1	X608	-4)[Ac(1-2)]bDGalpN(1-3)aLRhap(1-4)aDGlcp(1-4)bDGalp(1-3)[Ac(1-2)]aDGalpN(1-
ABE98413.1	X608	-4)[Ac(1-2)]bDGalpN(1-3)aLRhap(1-4)aDGlcp(1-4)bDGalp(1-3)[Ac(1-2)]aDGalpN(1-
ABE98419.1		-2)bDManp(1-3)[aLFucp(1-2)]bDGalp(1-3)[Ac(1-2)]aDGlcpN(1-3)[Ac(1-2)]bDGlcpN(1-
ADN43845.1		-2)bDManp(1-3)[aLFucp(1-2)]bDGalp(1-3)[Ac(1-2)]aDGlcpN(1-3)[Ac(1-2)]bDGlcpN(1-
CAS09721.1		-2)[35%Ac(1-4),65%Ac(1-3)]aLFucp(1-2)bDGalp(1-3)[Ac(1-2)]aDGalpN(1-3)[Ac(1-2)]aDGalpN(1-
AAR90892.1		-2)[35%Ac(1-4),65%Ac(1-3)]aLFucp(1-2)bDGalp(1-3)[Ac(1-2)]aDGalpN(1-3)[Ac(1-2)]aDGalpN(1-
ACD37181.1	X614	-2)[25%Ac(1-4),35%Ac(1-3)]aLRhap(1-2)[aDGlcp(1-3)]aLRhap(1-3)aLRhap(1-3)[Ac(1-2)]bDGlcpN(1-
ABA42232.1		-3)aLRhap(1-3)aLRhap(1-2)aDGlcp(1-3)[Ac(1-2)]aDGlcpN(1-
ADQ37322.1	X617	-2)xDRib-ol(5-P-6)aDGalp(1-3)[Am(1-2)]aLFucpN(1-3)[Ac(1-2)bDGlcpN(1-4),Ac(1-2)]bDGlcpN(1-
BAQ01999.1	X634	-4)[40%Ac(1-6),Ac(1-2)aLQuipN(1-3),Ac(1-2)]aDGalpN(1-6)aDGlcp(1-P-4)[Ac(1-2)]aLQuipN(1-3)[Ac(1-2)]bDGlcpN(1-
AAN60459.1		-3)aLRhap(1-4)[Ac(1-2)]aLFucpN(1-3)[Ac(1-2)]bDGlcpN(1-
EKI39969.1		-2)[Ac(1-4)]aDRhap4N(1-3)aLFucp(1-4)bDGlcp(1-3)[Ac(1-2)]aDGalpN(1-
BAK68980.1		-2)[Ac(1-4)]aDRhap4N(1-3)aLFucp(1-4)bDGlcp(1-3)[Ac(1-2)]aDGalpN(1-
EKK44895.1		-2)[Ac(1-4)]aDRhap4N(1-3)aLFucp(1-4)bDGlcp(1-3)[Ac(1-2)]aDGalpN(1-
BAK69191.1		-2)[Ac(1-4)]aDRhap4N(1-3)aLFucp(1-4)bDGlcp(1-3)[Ac(1-2)]aDGalpN(1-
BAK69033.1		-2)[Ac(1-4)]aDRhap4N(1-3)aLFucp(1-4)bDGlcp(1-3)[Ac(1-2)]aDGalpN(1-
AAC32340.1		-2)[Ac(1-4)]aDRhap4N(1-3)aLFucp(1-4)bDGlcp(1-3)[Ac(1-2)]aDGalpN(1-
EKI95922.1		-2)[Ac(1-4)]aDRhap4N(1-3)aLFucp(1-4)bDGlcp(1-3)[Ac(1-2)]aDGalpN(1-
ABK27355.1		-2)bDGlcp(1-2)[lR3HOBut(1-3)]bDFucp3N(1-6)[Ac(1-2)]aDGlcpN(1-4)[Ac(1-2)]aDGalpN(1-3)[Ac(1-2)]bDGlcpN(1-
ABK27354.1		-2)bDGlcp(1-2)[lR3HOBut(1-3)]bDFucp3N(1-6)[Ac(1-2)]aDGlcpN(1-4)[Ac(1-2)]aDGalpN(1-3)[Ac(1-2)]bDGlcpN(1-
ABK27351.1		-2)bDGlcp(1-2)[lR3HOBut(1-3)]bDFucp3N(1-6)[Ac(1-2)]aDGlcpN(1-4)[Ac(1-2)]aDGalpN(1-3)[Ac(1-2)]bDGlcpN(1-
BAI31288.1		-2)bDGlcp(1-2)[lR3HOBut(1-3)]bDFucp3N(1-6)[Ac(1-2)]aDGlcpN(1-4)[Ac(1-2)]aDGalpN(1-3)[Ac(1-2)]bDGlcpN(1-
ABK27350.1		-2)bDGlcp(1-2)[lR3HOBut(1-3)]bDFucp3N(1-6)[Ac(1-2)]aDGlcpN(1-4)[Ac(1-2)]aDGalpN(1-3)[Ac(1-2)]bDGlcpN(1-
ABK27321.1		-2)bDGlcp(1-2)[lR3HOBut(1-3)]bDFucp3N(1-6)[Ac(1-2)]aDGlcpN(1-4)[Ac(1-2)]aDGalpN(1-3)[Ac(1-2)]bDGlcpN(1-
ABK27352.1		-2)bDGlcp(1-2)[lR3HOBut(1-3)]bDFucp3N(1-6)[Ac(1-2)]aDGlcpN(1-4)[Ac(1-2)]aDGalpN(1-3)[Ac(1-2)]bDGlcpN(1-
AFC91472.1	X633	-3)[Ac(1-2)xXGly(1-4)]bDQuip4N(1-4)[NH2(1-6),60%Ac(1-3),Ac(1-2)]aDGalpNA(1-4)[Ac(1-2)]aDGalpNA(1-3)[Ac(1-2)]aDGlcpN(1-
AFC91514.1	X633	-3)[Ac(1-2)xXGly(1-4)]bDQuip4N(1-4)[NH2(1-6),60%Ac(1-3),Ac(1-2)]aDGalpNA(1-4)[Ac(1-2)]aDGalpNA(1-3)[Ac(1-2)]aDGlcpN(1-
AAO39700.1	X633	-3)[Ac(1-2)xXGly(1-4)]bDQuip4N(1-4)[NH2(1-6),60%Ac(1-3),Ac(1-2)]aDGalpNA(1-4)[Ac(1-2)]aDGalpNA(1-3)[Ac(1-2)]aDGlcpN(1-
AHG15281.1		-4)[Ac(1-5)]aXNeup(2-3)[Am(1-2)]aLFucpN(1-3)[Ac(1-2)]bDGlcpN(1-
AFC91570.1	X633	-3)[Ac(1-2)xXGly(1-4)]bDQuip4N(1-4)[NH2(1-6),60%Ac(1-3),Ac(1-2)]aDGalpNA(1-4)[Ac(1-2)]aDGalpNA(1-3)[Ac(1-2)]aDGlcpN(1-
AFD18613.1		-4)[Ac(1-5)]aXNeup(2-3)[Am(1-2)]aLFucpN(1-3)[Ac(1-2)]bDGlcpN(1-
AAX58762.1		-4)[Ac(1-5)]aXNeup(2-3)[Am(1-2)]aLFucpN(1-3)[Ac(1-2)]bDGlcpN(1-
WP_001300154.1		-4)[aXColp(1-6),aXColp(1-3)]aDGlcp(1-4)aDGalp(1-3)[Ac(1-2)]bDGlcpN(1-
BAQ01012.1		-3)aLRhap(1-2)aLRhap(1-3)bLRhap(1-4)[Ac(1-2)]bDGlcpN(1-
BAQ00687.1	X612	-2)aLRhap(1-6)aDGlcp(1-4)[Ac(1-2)bDGlcpN(1-3)]aDGalp(1-3)[Ac(1-2)]aDGlcpN(1-
BAQ01687.1		-4)[xLThr(2-6)]bDGlcpA(1-6)bDGalp(1-6)bDGlcp(1-3)[Ac(1-2)]bDGalpN(1-
BAQ01155.1		-6)[aLRhap(1-3)]aDManp(1-2)[aDGlcp(1-3)]aDManp(1-2)aDManp(1-2)bDManp(1-3)[Ac(1-2)]aDGlcpN(1-
BAQ02177.1		-6)aDManp(1-2)aDManp(1-2)bDManp(1-3)[Ac(1-2)]aDGlcpN(1-
AIG62747.1	X613	-4)[Ac(1-2)]aDGlcpN(1-4)aDGalpA(1-2)bDRibf(1-4)bDGalp(1-3)[Ac(1-2)]bDGalpN(1-
WP_074526664.1		
AJR19430.1	X633	-3)[lS3HOBut(1-2)xDAla?(1-4)]bDQuip4N(1-6)aDGlcp(1-3)[Ac(1-2)]aLQuipN(1-3)[80%Ac(1-6),Ac(1-2)]aDGlcpN(1-
WP_038349068.1		
WP_024244058.1		-6)[aLFucp(1-2)]bDGalp(1-3)[Ac(1-2)]bDGalpN(1-4)aDGalp(1-3)[Ac(1-2)]bDGalpN(1-
WP_046788607.1		
WP_000456161.1		
AAZ20761.1		-2)bDManp(1-3)[Ac(1-2)]aDGlcpN(1-2)[Ac(1-3)]bDGlcp(1-3)aL6dTalp(1-3)[Ac(1-2)]aDGlcpN(1-
AQU71717.1	X617	-3)[Ac(1-2)bDManpN(1-2)]aLRhap(1-3)aLRhap(1-3)bLRhap(1-4)[Ac(1-2)]bDGlcpN(1-
AQU71739.1	X617	-3)[Ac(1-2)bDManpN(1-2)]aLRhap(1-3)aLRhap(1-3)bLRhap(1-4)[Ac(1-2)]bDGlcpN(1-
AQU71752.1	X617	-3)[Ac(1-2)bDManpN(1-2)]aLRhap(1-3)aLRhap(1-3)bLRhap(1-4)[Ac(1-2)]bDGlcpN(1-
BAQ02224.1	X633	-3)[lS3HOBut(1-2)xDAla?(1-4)]bDQuip4N(1-6)[Ac(1-2)]aDGlcpN(1-3)[Ac(1-2)]aLQuipN(1-3)[30%Ac(1-6),Ac(1-2)]aDGlcpN(1-
BAQ02259.1	X614	
WP_097449287.1		-3)[<<40%Ac(1-3)|30%Ac(1-2)>>aDGalpA(1-2)]aDGalp(1-3)[bDGlcp(1-4),Ac(1-2)]aLFucpN(1-3)[Ac(1-2)]aDGlcpN(1-
BAL03056.1	X617	-3)[bDRibf(1-4)bDGlcpA(1-4)]aDGalp(1-6)aDManp(1-2)aDManp(1-3)[Ac(1-2)]bDGalpN(1-
BAQ02105.1		-6)aDManp(1-2)aDManp(1-2)bDManp(1-3)[aDGlcp(1-6),Ac(1-2)]aDGlcpN(1-
BAQ00945.1		-6)aDManp(1-2)aDManp(1-2)[aDGlcp(1-4)]bDManp(1-3)[Ac(1-2)]aDGlcpN(1-
AAL27327.1		-3)bDManp(1-4)bDGlcpA(1-3)[Ac(1-2)]aDGlcpN(1-2)bDGalp(1-4)[aLRhap(1-3)]bDManp(1-
AAL27339.1	X617	-3)[bDGlcpA(1-4)]aDGalp(1-6)aDManp(1-2)aDManp(1-3)[Ac(1-2)]bDGalpN(1-
AAL27351.1		-3)aLRhap(1-4)aDGlcp(1-4)bDGlcpA(1-3)[Ac(1-2)]aDGlcpN(1-
AAR24270.1		-3)[Ac(1-2)]aLQuipN(1-4)aDGlcp(1-P-4)[Ac(1-2)]aDGlcpN(1-3)[Ac(1-2)]aLQuipN(1-3)[Ac(1-2)]aDGlcpN(1-
AAR97964.1	X633	-3)[Ac(1-2)xXGly(1-4)]bDQuip4N(1-4)[NH2(1-6),Ac(1-3),Ac(1-2)]aDGalpNA(1-4)[Ac(1-2)]aDGalpNA(1-3)[Ac(1-2)]aDGlcpN(1-
AAS98031.1	X617	-3)[bDRibf(1-4)aDGlcpA(1-2)]aLRhap(1-3)bLRhap(1-4)aLRhap(1-3)[Ac(1-2)]bDGlcpN(1-
AAV41072.1		
AAZ91245.1		
ABB65530.1		-3)[aDGlcp(1-2)]aLRhap(1-4)bDGlcpA(1-3)bLRhap(1-4)[Ac(1-2)]bDGlcpN(1-
