DATASET_COLORSTRIP		
SEPARATOR TAB		
DATASET_LABEL	class	
WP_186427622.1	#FFFF00	4
WP_199637582.1	#FFFF00	4
WP_006328905.1	#FFFF00	4
WP_217331901.1	#FFFF00	4
WP_209640096.1	#FFFF00	4
HCJ98741.1	#FFFF00	4
WP_174355379.1	#FFFF00	4
CPR15954.1	#FFFF00	4
WP_150436527.1	#FFFF00	4
QZN95462.1	#FFFF00	4
MBG6246204.1	#FFFF00	4
WP_121576516.1	#FFFF00	4
MCG8708343.1	#FFFF00	4
NPD02171.1	#FFFF00	4
WP_136164768.1	#FFFF00	4
WP_109054300.1	#FFFF00	4
WP_137714777.1	#FFFF00	4
KHN53089.1	#FFFF00	4
MBN3073227.1	#FFFF00	4
KFX02777.1	#FFFF00	4
RYC38020.1	#FFFF00	4
TCV02505.1	#FFFF00	4
AOR63335.1	#FFFF00	4
GKW19212.1	#FFFF00	4
GKW24525.1	#FFFF00	4
GKW13870.1	#FFFF00	4
CAG73082.1	#FFFF00	4
WP_047709998.1	#FFFF00	4
ONK01988.1	#FFFF00	4
WP_224554191.1	#FFFF00	4
KFX13633.1	#FFFF00	4
QHP82262.1	#FFFF00	4
WP_225969816.1	#FFFF00	4
MBQ4790759.1	#FFFF00	4
OYN52535.1	#FFFF00	4
WP_257980055.1	#FFFF00	4
PLY38509.1	#FFFF00	4
QQG30419.1	#FFFF00	4
WP_120358196.1	#FFFF00	4
KML71670.1	#FFFF00	4
WP_104209710.1	#FFFF00	4
WP_113868637.1	#FFFF00	4
WP_199378839.1	#FFFF00	4
WP_172291071.1	#FFFF00	4
WP_039289445.1	#FFFF00	4
WP_205531177.1	#FFFF00	4
WP_121294788.1	#FFFF00	4
WP_244398002.1	#FFFF00	4
WP_231825914.1	#FFFF00	4
WP_253897237.1	#FFFF00	4
RBP10045.1	#FFFF00	4
WP_187800761.1	#FFFF00	4
WP_054802707.1	#FFFF00	4
WP_128481889.1	#FFFF00	4
WP_124966994.1	#FFFF00	4
WP_200580299.1	#FFFF00	4
WP_094418927.1	#FFFF00	4
MCQ7057590.1	#FFFF00	4
WP_155107198.1	#FFFF00	4
WP_199957439.1	#FFFF00	4
HCD1253704.1	#FFFF00	4
WP_104445818.1	#FFFF00	4
WP_206163830.1	#FFFF00	4
HCB2207161.1	#FFFF00	4
WP_253319714.1	#FFFF00	4
WP_046492107.1	#FFFF00	4
TKT81669.1	#FFFF00	4
MBB2333907.1	#FFFF00	4
EFO0324337.1	#FFFF00	4
AAA24524.1	#FFFF00	4
AAB18599.1	#FFFF00	4
HBQ6054075.1	#FFFF00	4
EGM7815844.1	#FFFF00	4
WP_233679603.1	#FFFF00	4
WP_135560306.1	#FFFF00	4
WP_180491691.1	#FFFF00	4
WP_256682696.1	#FFFF00	4
SFR12622.1	#FFFF00	4
WP_097399825.1	#FFFF00	4
WP_125354672.1	#FFFF00	4
WP_013364183.1	#FFFF00	4
WP_236611449.1	#FFFF00	4
WP_105736609.1	#FFFF00	4
WP_175569375.1	#FFFF00	4
WP_105538121.1	#FFFF00	4
WP_080321423.1	#FFFF00	4
WP_156240122.1	#FFFF00	4
WP_231275285.1	#FFFF00	4
WP_234674167.1	#FFFF00	4
WP_245551561.1	#FFFF00	4
WP_181623657.1	#FFFF00	4
WP_131634749.1	#FFFF00	4
WP_182063501.1	#FFFF00	4
WP_196391342.1	#FFFF00	4
KML24857.1	#FFFF00	4
WP_220418805.1	#FFFF00	4
WP_129997146.1	#FFFF00	4
WP_248166117.1	#FFFF00	4
HBH7065825.1	#FFFF00	4
WP_134708594.1	#FFFF00	4
WP_256068182.1	#FFFF00	4
TFB26618.1	#FFFF00	4
WP_047347577.1	#FFFF00	4
WP_063431732.1	#FFFF00	4
HAU5608710.1	#FFFF00	4
MBY7354286.1	#FFFF00	4
AAC69671.1	#FFFF00	4
WP_113421724.1	#FFFF00	4
WP_225576694.1	#FFFF00	4
WP_230086724.1	#FFFF00	4
WP_232373739.1	#FFFF00	4
WP_208325130.1	#FFFF00	4
WP_232368207.1	#FFFF00	4
HCE8604718.1	#FFFF00	4
WP_244974762.1	#FFFF00	4
MTD38201.1	#FFFF00	4
QKJ89051.1	#FFFF00	4
WP_232001884.1	#FFFF00	4
MBJ3815187.1	#FFFF00	4
WP_227660423.1	#FFFF00	4
WP_234618872.1	#FFFF00	4
WP_082790848.1	#FFFF00	4
WP_231625910.1	#FFFF00	4
WP_111739143.1	#FFFF00	4
GKX60924.1	#FFFF00	4
WP_253274065.1	#FFFF00	4
WP_155407631.1	#FFFF00	4
WP_106912777.1	#FFFF00	4
WP_103779108.1	#FFFF00	4
WP_117342549.1	#FFFF00	4
TCC87831.1	#FFFF00	4
WP_063080634.1	#FFFF00	4
WP_085674735.1	#FFFF00	4
WP_251301826.1	#FFFF00	4
WP_060579038.1	#FFFF00	4
AAC69682.1	#FFFF00	4
KZP44489.1	#FFFF00	4
NOI30724.1	#FFFF00	4
WP_204796118.1	#FFFF00	4
WP_218358812.1	#FFFF00	4
WP_152429314.1	#FFFF00	4
WP_125320260.1	#FFFF00	4
WP_216602111.1	#FFFF00	4
WP_171760300.1	#FFFF00	4
WP_198561750.1	#FFFF00	4
NRB68630.1	#FFFF00	4
WP_229630947.1	#FFFF00	4
WP_239876162.1	#FFFF00	4
WP_252035746.1	#FFFF00	4
WP_239837934.1	#FFFF00	4
WP_095572273.1	#FFFF00	4
WP_006963386.1	#FFFF00	4
WP_095665464.1	#FFFF00	4
WP_038514018.1	#FFFF00	4
WP_019276564.1	#FFFF00	4
WP_021457885.1	#FFFF00	4
OEE84987.1	#FFFF00	4
WP_074926367.1	#FFFF00	4
WP_102258716.1	#FFFF00	4
WP_218358814.1	#FFFF00	4
WP_016960226.1	#FFFF00	4
WP_158161625.1	#FFFF00	4
AUW37794.1	#FFFF00	4
WP_062662901.1	#FFFF00	4
WP_102310374.1	#FFFF00	4
WP_017014155.1	#FFFF00	4
EEY50267.1	#FFFF00	4
WP_005516966.1	#FFFF00	4
WP_148554243.1	#FFFF00	4
WP_113608713.1	#FFFF00	4
WP_095457158.1	#FFFF00	4
WP_061051911.1	#FFFF00	4
WP_047688581.1	#FFFF00	4
WP_171822904.1	#FFFF00	4
CAH8191316.1	#FFFF00	4
WP_194598514.1	#FFFF00	4
WP_208872090.1	#FFFF00	4
WP_170901173.1	#FFFF00	4
WP_000470081.1	#FFFF00	4
WP_113593859.1	#FFFF00	4
WP_166013905.1	#FFFF00	4
WP_186592074.1	#FFFF00	4
WP_055031789.1	#FFFF00	4
WP_142736908.1	#FFFF00	4
WP_216505788.1	#FFFF00	4
WP_148515417.1	#FFFF00	4
WP_123161526.1	#FFFF00	4
WP_142728201.1	#FFFF00	4
WP_217535405.1	#FFFF00	4
AAL77359.1	#FFFF00	4
WP_057550499.1	#FFFF00	4
EGR0264289.1	#FFFF00	4
WP_142621621.1	#FFFF00	4
WP_142578766.1	#FFFF00	4
WP_114807999.1	#FFFF00	4
EGR4401990.1	#FFFF00	4
WP_172527256.1	#FFFF00	4
WP_142577520.1	#FFFF00	4
WP_114762730.1	#FFFF00	4
EGR1094129.1	#FFFF00	4
WP_229767286.1	#FFFF00	4
EJL6492784.1	#FFFF00	4
WP_172780266.1	#FFFF00	4
WP_076025049.1	#FFFF00	4
WP_175230961.1	#FFFF00	4
EII3093738.1	#FFFF00	4
WP_142733647.1	#FFFF00	4
EGR1264357.1	#FFFF00	4
EJL6666038.1	#FFFF00	4
WP_000494471.1	#FFFF00	4
WP_196981047.1	#FFFF00	4
EGR5587376.1	#FFFF00	4
WP_148552714.1	#FFFF00	4
AWB71735.1	#FFFF00	4
WP_182293341.1	#FFFF00	4
BCK32718.1	#FFFF00	4
WP_153734111.1	#FFFF00	4
WP_123012929.1	#FFFF00	4
HBC3848945.1	#FFFF00	4
WP_055051856.1	#FFFF00	4
EIF2259270.1	#FFFF00	4
WP_119828745.1	#FFFF00	4
MBJ6930127.1	#FFFF00	4
WP_207805739.1	#FFFF00	4
WP_113629151.1	#FFFF00	4
EJL6445075.1	#FFFF00	4
WP_148523115.1	#FFFF00	4
WP_142610342.1	#FFFF00	4
EHD2263278.1	#FFFF00	4
WP_148553323.1	#FFFF00	4
WP_142626135.1	#FFFF00	4
GHY46370.1	#FFFF00	4
EGR0550207.1	#FFFF00	4
WP_172779747.1	#FFFF00	4
EGQ8211812.1	#FFFF00	4
WP_182926747.1	#FFFF00	4
WP_238666278.1	#FFFF00	4
NLA51933.1	#FFFF00	4
QCG49760.1	#FFFF00	4
WP_197064500.1	#FFFF00	4
WP_124239142.1	#FFFF00	4
WP_033137594.1	#FFFF00	4
WP_139463384.1	#FFFF00	4
WP_257696387.1	#FFFF00	4
PTT48905.1	#FFFF00	4
WP_219265086.1	#FFFF00	4
QNF16686.1	#FFFF00	4
QNF14921.1	#FFFF00	4
RDU78364.1	#FFFF00	4
PTT47392.1	#FFFF00	4
MVG16652.1	#FFFF00	4
BCS49960.1	#FFFF00	4
WP_103472342.1	#FFFF00	4
WP_134696826.1	#FFFF00	4
WP_252423991.1	#FFFF00	4
WP_162183744.1	#FFFF00	4
WP_213392878.1	#FFFF00	4
WP_182938520.1	#FFFF00	4
AMQ41140.1	#FFFF00	4
WP_139729539.1	#FFFF00	4
PTT53618.1	#FFFF00	4
BBT78413.1	#FFFF00	4
TNJ05429.1	#FFFF00	4
WP_219296745.1	#FFFF00	4
WP_104016229.1	#FFFF00	4
WP_041209820.1	#FFFF00	4
WP_201931204.1	#FFFF00	4
WP_219272823.1	#FFFF00	4
WP_199427809.1	#FFFF00	4
WP_159157878.1	#FFFF00	4
WP_100292720.1	#FFFF00	4
WP_128273381.1	#FFFF00	4
QWL59582.1	#FFFF00	4
WP_223379637.1	#FFFF00	4
WP_236562953.1	#FFFF00	4
WP_201906030.1	#FFFF00	4
WP_139394858.1	#FFFF00	4
WP_225633655.1	#FFFF00	4
WP_236351159.1	#FFFF00	4
WP_040095015.1	#FFFF00	4
WP_201983390.1	#FFFF00	4
WP_124252818.1	#FFFF00	4
WP_216983685.1	#FFFF00	4
WP_253631321.1	#FFFF00	4
WP_113994424.1	#FFFF00	4
WP_244813120.1	#FFFF00	4
HAU4907074.1	#FFFF00	4
WP_198150649.1	#FFFF00	4
WP_100860738.1	#FFFF00	4
WP_238583127.1	#FFFF00	4
HBL01850.1	#FFFF00	4
MBP8038935.1	#FFFF00	4
WP_212540370.1	#FFFF00	4
WP_005318160.1	#FFFF00	4
GAJ48250.1	#FFFF00	4
WP_139726503.1	#FFFF00	4
AGM46167.1	#FFFF00	4
WP_123785056.1	#FFFF00	4
WP_241326146.1	#FFFF00	4
WP_139705123.1	#FFFF00	4
WP_094697617.1	#FFFF00	4
WP_082634737.1	#FFFF00	4
WP_201885287.1	#FFFF00	4
WP_211162602.1	#FFFF00	4
WP_076362227.1	#FFFF00	4
WP_201905499.1	#FFFF00	4
WP_241279462.1	#FFFF00	4
WP_098981382.1	#FFFF00	4
ACA14475.1	#FFFF00	4
WP_156141284.1	#FFFF00	4
EGX6955176.1	#FFFF00	4
WP_207137876.1	#FFFF00	4
MBX9565361.1	#FFFF00	4
WP_148830990.1	#FFFF00	4
OXY81890.1	#FFFF00	4
WP_107851122.1	#FFFF00	4
WP_014293018.1	#FFFF00	4
WP_234283023.1	#FFFF00	4
WP_253451351.1	#FFFF00	4
WP_234269004.1	#FFFF00	4
WP_155833633.1	#FFFF00	4
WP_175474697.1	#FFFF00	4
WP_240569970.1	#FFFF00	4
WP_051496139.1	#FFFF00	4
WP_162622989.1	#FFFF00	4
WP_234260732.1	#FFFF00	4
WP_163503421.1	#FFFF00	4
WP_095619464.1	#FFFF00	4
WP_102627993.1	#FFFF00	4
WP_114478845.1	#FFFF00	4
QHC50278.1	#FFFF00	4
WP_086508883.1	#FFFF00	4
SEG45035.1	#FFFF00	4
WP_022941135.1	#FFFF00	4
WP_097356177.1	#FFFF00	4
WP_232765768.1	#FFFF00	4
WP_087481583.1	#FFFF00	4
WP_038178953.1	#FFFF00	4
KUJ00595.1	#FFFF00	4
WP_157721377.1	#FFFF00	4
SHF60181.1	#FFFF00	4
QMV12953.1	#FFFF00	4
WP_154113042.1	#FFFF00	4
WP_148546974.1	#FFFF00	4
MVB34359.1	#FFFF00	4
WP_217010495.1	#FFFF00	4
WP_069503517.1	#FFFF00	4
AAL76923.1	#FFFF00	4
WP_001060347.1	#FFFF00	4
WP_001060346.1	#FFFF00	4
WP_055064621.1	#FFFF00	4
WP_057563044.1	#FFFF00	4
WP_142627094.1	#FFFF00	4
AAL76927.1	#FFFF00	4
WP_199359288.1	#FFFF00	4
WP_033931565.1	#FFFF00	4
WP_070382465.1	#FFFF00	4
WP_148520577.1	#FFFF00	4
WP_154139075.1	#FFFF00	4
WP_237363274.1	#FFFF00	4
WP_046303448.1	#FFFF00	4
WP_062706969.1	#FFFF00	4
WP_078752137.1	#FFFF00	4
OEF48240.1	#FFFF00	4
WP_223825597.1	#FFFF00	4
WP_215987130.1	#FFFF00	4
WP_160931713.1	#FFFF00	4
WP_114785910.1	#FFFF00	4
WP_045986804.1	#FFFF00	4
WP_172851442.1	#FFFF00	4
WP_171353044.1	#FFFF00	4
WP_065740871.1	#FFFF00	4
WP_171749978.1	#FFFF00	4
WP_171341520.1	#FFFF00	4
WP_170883212.1	#FFFF00	4
WP_076589015.1	#FFFF00	4
WP_172855630.1	#FFFF00	4
WP_045977438.1	#FFFF00	4
WP_206369950.1	#FFFF00	4
WP_052126536.1	#FFFF00	4
WP_239867081.1	#FFFF00	4
WP_250610873.1	#FFFF00	4
WP_240800940.1	#FFFF00	4
WP_034414903.1	#FFFF00	4
WP_040356501.1	#FFFF00	4
WP_102986651.1	#FFFF00	4
WP_009601047.1	#FFFF00	4
OAJ96148.1	#FFFF00	4
WP_004742899.1	#FFFF00	4
WP_075710623.1	#FFFF00	4
KAB1459054.1	#FFFF00	4
KGY11292.1	#FFFF00	4
WP_049844182.1	#FFFF00	4
OAM98887.1	#FFFF00	4
NOH22757.1	#FFFF00	4
WP_047877770.1	#FFFF00	4
WP_001044022.1	#FFFF00	4
WP_039046072.1	#FFFF00	4
WP_167412348.1	#FFFF00	4
MBY7975751.1	#FFFF00	4
MBY7896570.1	#FFFF00	4
WP_176312578.1	#FFFF00	4
WP_172533645.1	#FFFF00	4
WP_199867554.1	#FFFF00	4
AQM04920.1	#FFFF00	4
WP_088721394.1	#FFFF00	4
CAH8191854.1	#FFFF00	4
WP_050990514.1	#FFFF00	4
WP_017045908.1	#FFFF00	4
WP_170888899.1	#FFFF00	4
WP_194575233.1	#FFFF00	4
WP_094165790.1	#FFFF00	4
WP_015551566.1	#FFFF00	4
ADU91200.1	#FFFF00	4
WP_013521436.1	#FFFF00	4
WP_157823279.1	#FFFF00	4
WP_115912054.1	#FFFF00	4
WP_102703932.1	#FFFF00	4
WP_197547044.1	#FFFF00	4
WP_070582633.1	#FFFF00	4
WP_193451976.1	#FFFF00	4
AGO01088.1	#FFFF00	4
WP_049376208.1	#FFFF00	4
MBF1241855.1	#FFFF00	4
MBS5252708.1	#FFFF00	4
EGC72795.1	#FFFF00	4
WP_005695288.1	#FFFF00	4
OOF67558.1	#FFFF00	4
WP_226691468.1	#FFFF00	4
WP_077425256.1	#FFFF00	4
WP_140520110.1	#FFFF00	4
WP_040217503.1	#FFFF00	4
WP_005706107.1	#FFFF00	4
WP_140586018.1	#FFFF00	4
WP_204713890.1	#FFFF00	4
WP_118791729.1	#FFFF00	4
WP_118785906.1	#FFFF00	4
WP_111696386.1	#FFFF00	4
EGT80384.1	#FFFF00	4
WP_134079055.1	#FFFF00	4
EJZ77242.1	#FFFF00	4
WP_115098005.1	#FFFF00	4
WP_046097875.1	#FFFF00	4
AWX15118.1	#FFFF00	4
WP_126372975.1	#FFFF00	4
WP_065234148.1	#FFFF00	4
WP_082966127.1	#FFFF00	4
WP_065237440.1	#FFFF00	4
WP_094871712.1	#FFFF00	4
WP_039172050.1	#FFFF00	4
WP_094933550.1	#FFFF00	4
WP_078236439.1	#FFFF00	4
WP_115249483.1	#FFFF00	4
WP_250351524.1	#FFFF00	4
WP_078219092.1	#FFFF00	4
WP_124211519.1	#FFFF00	4
QIM62304.1	#FFFF00	4
WP_123956761.1	#FFFF00	4
OOH89336.1	#FFFF00	4
WP_038644023.1	#FFFF00	4
WP_188156973.1	#FFFF00	4
WP_161667855.1	#FFFF00	4
WP_178218647.1	#FFFF00	4
WP_112110487.1	#FFFF00	4
WP_025247211.1	#FFFF00	4
WP_154703841.1	#FFFF00	4
WP_075272048.1	#FFFF00	4
QLB15458.1	#FFFF00	4
WP_176672091.1	#FFFF00	4
WP_165888405.1	#FFFF00	4
WP_027073830.1	#FFFF00	4
MCI7479256.1	#FFFF00	4
SUB32767.1	#FFFF00	4
WP_162856338.1	#FFFF00	4
WP_135674106.1	#FFFF00	4
WP_005823569.1	#FFFF00	4
WP_140527432.1	#FFFF00	4
WP_140449942.1	#FFFF00	4
VTM24793.1	#FFFF00	4
MBS6009027.1	#FFFF00	4
WP_226396925.1	#FFFF00	4
WP_119222443.1	#FFFF00	4
WP_111427896.1	#FFFF00	4
WP_118817269.1	#FFFF00	4
WP_118805810.1	#FFFF00	4
P44067.1	#FFFF00	4
WP_050837651.1	#FFFF00	4
WP_101160254.1	#FFFF00	4
WP_228402782.1	#FFFF00	4
WP_133545819.1	#FFFF00	4
WP_131978121.1	#FFFF00	4
WP_132691196.1	#FFFF00	4
PJG84409.1	#FFFF00	4
WP_109079140.1	#FFFF00	4
KYK74837.1	#FFFF00	4
EKX93675.1	#FFFF00	4
MCK3657817.1	#FFFF00	4
WP_153985394.1	#FFFF00	4
WP_090654176.1	#FFFF00	4
WP_135710020.1	#FFFF00	4
WP_095176784.1	#FFFF00	4
TCP11647.1	#FFFF00	4
HBO39278.1	#FFFF00	4
WP_040976805.1	#FFFF00	4
WP_100297700.1	#FFFF00	4
WP_021616694.1	#FFFF00	4
SSY94543.1	#FFFF00	4
WP_111303707.1	#FFFF00	4
WP_077423267.1	#FFFF00	4
WP_194811559.1	#FFFF00	4
WP_226691508.1	#FFFF00	4
WP_135093171.1	#FFFF00	4
WP_077421172.1	#FFFF00	4
WP_077477985.1	#FFFF00	4
WP_077426658.1	#FFFF00	4
OOF44999.1	#FFFF00	4
WP_164028327.1	#FFFF00	4
OOF55171.1	#FFFF00	4
WP_077465679.1	#FFFF00	4
WP_077665089.1	#FFFF00	4
WP_077550494.1	#FFFF00	4
WP_077497367.1	#FFFF00	4
WP_077475691.1	#FFFF00	4
WP_077433999.1	#FFFF00	4
MBD9095967.1	#FFFF00	4
WP_197563262.1	#FFFF00	4
WP_049356194.1	#FFFF00	4
WP_128787813.1	#FFFF00	4
MBF1251799.1	#FFFF00	4
MBF1239929.1	#FFFF00	4
QOR10118.1	#FFFF00	4
MBS4798903.1	#FFFF00	4
WP_197559960.1	#FFFF00	4
MBF1245605.1	#FFFF00	4
WP_005697308.1	#FFFF00	4
MBS6726569.1	#FFFF00	4
QOR06912.1	#FFFF00	4
WP_243584372.1	#FFFF00	4
MBF1254282.1	#FFFF00	4
MBS6284687.1	#FFFF00	4
OBX89767.1	#FFFF00	4
OLV28814.1	#FFFF00	4
WP_049363457.1	#FFFF00	4
