acc	evalue	score
UPQ77417.1	5.0	18.6
BAS10716.1	5.0	18.6
AFS48629.1	5.0	18.6
VEE71535.1	5.1	18.5
AMS26961.1	5.1	18.5
QQP13310.1	5.2	18.5
BBO55455.1	5.2	18.5
UBU49420.1	5.2	18.5
AGE23727.1	5.2	18.5
QEM33120.1	5.2	18.5
AYL96949.1	5.2	18.5
EAP87675.1	5.3	18.5
BCU64200.1	5.3	18.5
UPW83814.1	5.3	18.5
UIZ96134.1	5.3	18.5
QPQ33377.1	5.3	18.5
AIE96188.1	5.4	18.5
CAH0335617.1	5.6	18.4
AQX07984.1	5.7	18.4
AJA69319.1	5.7	18.4
QLB22025.1	5.8	18.4
QIQ31993.1	5.8	18.4
AHF70065.1	5.8	18.4
QVE16953.1	5.8	18.4
SDS28688.1	5.8	18.4
AIU68105.1	5.9	18.3
QBK76660.1	5.9	18.3
QWU82942.1	6.0	18.3
UJF25963.1	6.0	18.3
AKE19207.1	6.1	18.3
AZA90709.1	6.1	18.3
VEH22233.1	6.1	18.3
AIF67941.1	6.1	18.3
QLY81514.1	6.1	18.3
BAK17668.1	6.1	18.3
AYB30989.1	6.2	18.3
QTH42053.1	6.2	18.3
ACL41040.1	6.2	18.3
QCF37280.1	6.2	18.3
QIR07298.1	6.2	18.3
ADY53197.1	6.3	18.2
QPR66551.1	6.4	18.2
VZH34234.1	6.5	18.2
QQE48759.1	6.6	18.2
QGA16343.1	6.6	18.2
AEB99060.1	6.6	18.2
BCW68231.1	6.7	18.2
ALS76419.1	6.7	18.1
QUI96010.1	6.8	18.1
UKS54700.1	6.8	18.1
QHE63433.1	6.8	18.1
QMW66431.1	6.8	18.1
AMO84438.1	6.9	18.1
UOQ77570.1	6.9	18.1
UQA78994.1	7.0	18.1
UQA79465.1	7.0	18.1
UQA81227.1	7.0	18.1
UQA82340.1	7.0	18.1
UQA83739.1	7.0	18.1
UQA84955.1	7.0	18.1
UQA86301.1	7.0	18.1
UQA87000.1	7.0	18.1
UQA88913.1	7.0	18.1
UQA90114.1	7.0	18.1
QCI19111.1	7.1	18.1
QZP28147.1	7.1	18.1
QNR07502.1	7.2	18.0
ALS76673.1	7.3	18.0
AHF98043.1	7.4	18.0
QMT16507.1	7.4	18.0
QFT34986.1	7.4	18.0
QGM32885.1	7.4	18.0
QGN68387.1	7.4	18.0
APS42390.1	7.4	18.0
CCC56861.1	7.4	18.0
UOO89914.1	7.6	18.0
QGN65360.1	7.6	18.0
AKM78630.1	7.9	17.9
QCX33553.1	7.9	17.9
URJ52345.1	8.0	17.9
AOK92400.1	8.0	17.9
UMY56755.1	8.0	17.9
QNP45133.1	8.1	17.9
AZB10236.1	8.1	17.9
AQS90780.1	8.1	17.9
AOW19894.1	8.2	17.9
QPZ40195.1	8.2	17.9
UJR17039.1	8.3	17.9
QNL21628.1	8.4	17.8
ASV31437.1	8.4	17.8
AUD14279.1	8.6	17.8
AEA01443.1	8.6	17.8
ACO80973.1	8.7	17.8
AGK13884.1	8.7	17.8
AGK18544.1	8.7	17.8
QNE15707.1	8.9	17.7
ABS49433.1	8.9	17.7
AHK21998.1	8.9	17.7
AJK16444.1	8.9	17.7
UFA62609.1	8.9	17.7
QXW27570.1	9.0	17.7
UJO17606.1	9.1	17.7
ALL18327.1	9.2	17.7
UOY54844.1	9.2	17.7
BAU63830.1	9.3	17.7
AZO55825.1	9.4	17.7
QGW03249.1	9.4	17.7
QHD95654.1	9.4	17.7
QIF89740.1	9.4	17.7
QIF98153.1	9.4	17.7
QJW51056.1	9.4	17.7
QKD69424.1	9.4	17.7
QKD74584.1	9.4	17.7
QUT03532.1	9.4	17.7
UAX03384.1	9.4	17.7
UDF27623.1	9.4	17.7
ACU77247.1	9.4	17.7
QKJ24410.1	9.5	17.6
APX10554.1	9.6	17.6
ALZ63960.1	9.7	17.6
APZ45005.1	9.8	17.6
AUC18868.1	9.8	17.6
AIG62878.1	9.8	17.6
BAQ01317.1	9.8	17.6
QCD04603.1	9.8	17.6
ULI54069.1	9.8	17.6
VEC54653.1	9.8	17.6
QQE89122.1	9.8	17.6
QNM93536.1	9.9	17.6
CBE67348.1	9.9	17.6
QHP76539.1	9.9	17.6
QIK53550.1	9.9	17.6
