acc	evalue_clade1	evalue_clade2
QEO96004.1	0.0033	1.9e-13
QGH65096.1	0.0033	1.9e-13
UBB93818.1	0.0033	1.9e-13
ULX25254.1	0.0033	1.9e-13
UNW43317.1	0.0033	1.9e-13
AJQ88678.1	0.0033	2.1e-14
QDT60901.1	0.0033	1.5e-09
AEQ97820.1	0.0033	2.9e-13
AKN94449.1	0.0033	2.9e-13
AKN98173.1	0.0033	2.9e-13
AKO13397.1	0.0033	2.9e-13
AKO17139.1	0.0033	2.9e-13
AKO20959.1	0.0033	2.9e-13
ANL37830.1	0.0033	2.8e-45
ANM01541.1	0.0033	2.8e-45
QDT12151.1	0.0033	2.5e-12
AFS53018.1	0.0033	6.099999999999999e-25
ABQ05835.1	0.0033	1.4e-19
UNC93591.1	0.0034	2.5e-08
BBE09089.1	0.0034	1.4000000000000002e-22
APP81797.1	0.0034	5.4e-14
APP86011.1	0.0034	5.4e-14
ASW47974.1	0.0034	5.4e-14
CAD0309043.1	0.0034	5.4e-14
CAD0309052.1	0.0034	5.4e-14
CAD0309747.1	0.0034	5.4e-14
CAD0309754.1	0.0034	5.4e-14
CAD0309780.1	0.0034	5.4e-14
CAD0309789.1	0.0034	5.4e-14
CAD0360938.1	0.0034	5.4e-14
CAD0360940.1	0.0034	5.4e-14
CAH2709681.1	0.0034	5.4e-14
QEW14391.1	0.0034	5.4e-14
QNM59867.1	0.0034	5.4e-14
AKS23044.1	0.0035	5.6999999999999995e-25
AIA31542.1	0.0035	3.8e-25
QSY86687.1	0.0035	9.2e-45
ACL22499.1	0.0036	2.1e-13
AUQ42722.1	0.0036	7.3e-06
QDU33969.1	0.0037	3.8e-08
AKA39897.1	0.0037	5.7e-06
VZH32827.1	0.0037	8.4e-06
AFY92799.1	0.0037	4.8e-07
QHG88534.1	0.0037	1.5e-133
UJD82535.1	0.0038	6.3e-08
UJD87100.1	0.0038	6.3e-08
QFG23681.1	0.0039	3.5e-14
UJW31215.1	0.0039	1.2e-21
ASR43383.1	0.0039	1.9e-17
QJD68802.1	0.0039	1.2e-11
AZR36063.1	0.0039	1.4e-13
ASC94270.1	0.0039	9.4e-11
AJA14010.1	0.0039	3.3e-10
SIR43775.1	0.0039	2.4e-10
AND91072.1	0.004	8.4e-25
BAC51191.1	0.004	8.4e-25
BCE76091.1	0.004	8.4e-25
BCF37188.1	0.004	8.4e-25
BCF45870.1	0.004	8.4e-25
BCF72022.1	0.004	8.4e-25
QBP24695.1	0.004	8.4e-25
UBB24629.1	0.004	1.1e-11
UBR28463.1	0.004	4.3e-08
ACL06564.1	0.004	3.5e-10
AHF88736.1	0.004	4.8e-44
AOX11365.1	0.0041	2.7e-10
ANJ95085.1	0.0042	3e-07
UJE00150.1	0.0042	3e-07
QGM06861.1	0.0042	1.1e-13
ARU56177.1	0.0043	1.6e-09
QXI47416.1	0.0043	3.8e-10
UFW68532.1	0.0044	8.8e-44
AXA36308.1	0.0044	1.4e-10
QKC72546.1	0.0044	1.7e-07
UIM96379.1	0.0045	7.9e-06
QTA84349.1	0.0045	1.2e-16
ARO28823.1	0.0046	9.2e-43
QDC51225.1	0.0046	1.1e-14
QDC61363.1	0.0046	1.1e-14
AKS23577.1	0.0046	9.5e-06
UQN44970.1	0.0048	9.7e-07
QUY47083.1	0.0048	2.4e-09
QQO02819.1	0.0048	4e-14
QUG83412.1	0.0049	2.7e-10
QXP25410.1	0.0049	3.7e-09
ACE94428.1	0.005	2.1e-45
ANL50500.1	0.005	2.1e-45
BBK25505.1	0.005	4.8e-13
AIS58080.1	0.005	9.1e-06
UOQ99496.1	0.005	1e-11
BDD87617.1	0.0051	7e-15
QHP69089.1	0.0052	5.5e-25
QKV54691.1	0.0053	2.3e-27
UAL34505.1	0.0053	3.6e-12
VDZ68576.1	0.0053	3.6e-12
ALF24620.1	0.0053	1.8e-17
ALF25687.1	0.0053	1.8e-17
AVX30014.1	0.0053	6.8e-13
QEY32254.1	0.0054	5.4e-10
AAR35330.1	0.0054	1.7e-09
UAC02692.1	0.0054	1.7e-09
AWT16159.1	0.0054	1.7e-12
BAU47917.1	0.0054	4.3e-09
QBG82782.1	0.0056	1.3e-13
QDW67035.1	0.0056	1.4e-12
ARG97199.1	0.0056	1.1e-22
ARH00542.1	0.0056	1.1e-22
CEG61348.1	0.0056	1.1e-22
AJF70823.1	0.0056	2.6e-14
AIW22257.1	0.0057	8.5e-06
QLS17793.1	0.0057	5e-13
AYF43034.1	0.0057	2.3e-17
SQD80150.1	0.0057	5.200000000000001e-44
URL05547.1	0.0057	1.3e-76
SIR99061.1	0.0058	2.4e-08
UQA69823.1	0.0058	2.3e-14
UBU50454.1	0.0058	1.8000000000000002e-81
BCS80751.1	0.0058	4.6e-08
UEP49264.1	0.0059	1.4e-12
AVQ08193.1	0.006	1.3e-13
AZM72390.1	0.006	1.3e-13
AZR25655.1	0.006	1.3e-13
AZR32345.1	0.006	1.3e-13
AWI91228.1	0.006	3.1e-07
URZ08401.1	0.006	5.4e-14
URZ13432.1	0.006	5.4e-14
AZL75957.1	0.006	7.8e-09
AZR42805.1	0.0061	1.9e-10
QEW32603.1	0.0062	1.7e-08
UIW18328.1	0.0062	2.4e-07
QNG84781.1	0.0062	4e-13
QNG89161.1	0.0062	4e-13
AHY08221.1	0.0063	6e-07
AUG05501.1	0.0063	2.7e-09
QDU99243.1	0.0064	6.4e-10
UPK40337.1	0.0065	9.3e-23
QBH02825.1	0.0066	1.3e-13
UNE63535.1	0.0066	1.3e-13
QIO72710.1	0.0066	3.7000000000000005e-44
QIO79729.1	0.0066	3.7000000000000005e-44
QHF42702.1	0.0066	6.7e-06
APO95085.1	0.0067	1.1e-13
APP75255.1	0.0067	1.1e-13
AEY01577.1	0.0067	2.8e-10
UIK20105.1	0.0067	1.4999999999999998e-43
AAN70503.1	0.0067	1.3e-10
QDW60218.1	0.0067	1.3e-10
QXZ07543.1	0.0067	1.3e-10
SKC14093.1	0.0067	1.3e-10
VEE43685.1	0.0067	1.3e-10
BCB90825.1	0.0067	8.2e-11
QBG87203.1	0.0067	1.6e-13
QBG94973.1	0.0067	1.6e-13
QBH00985.1	0.0067	1.6e-13
QDL29402.1	0.0067	3.2e-14
BAQ78417.1	0.0068	9.8e-08
AEG96189.1	0.0068	6.9e-11
QEU20905.1	0.0068	6.9e-11
QGT19262.1	0.0068	6.9e-11
QGT24064.1	0.0068	6.9e-11
QGT28933.1	0.0068	6.9e-11
AXH15535.1	0.0068	5.4e-19
QNB47105.1	0.0071	2.3e-06
QQN63725.1	0.0072	5.1e-06
ASI95330.1	0.0072	8.2e-08
CAV18698.1	0.0072	3.8e-06
AZR23952.1	0.0073	6.2e-13
QSZ04928.1	0.0073	8.6e-45
QPF08972.1	0.0073	7.6e-15
CAD7714048.1	0.0074	1.2e-13
CAD7714049.1	0.0074	1.2e-13
CAD7722216.1	0.0074	1.2e-13
CAD7722220.1	0.0074	1.2e-13
CAD7723866.1	0.0074	1.2e-13
CAD7723870.1	0.0074	1.2e-13
CAD7726427.1	0.0074	1.2e-13
CAD7726431.1	0.0074	1.2e-13
APY12038.1	0.0074	4.2e-07
QBG93124.1	0.0075	2.6e-13
UPJ64879.1	0.0077	8.3e-24
ACD51835.1	0.0077	3e-09
QHJ06891.1	0.0078	1.4e-13
AVH36631.1	0.0079	7.1e-09
QIG20889.1	0.0079	7.1e-09
QIG26139.1	0.0079	7.1e-09
QZT62292.1	0.0079	1.3e-13
QIT26536.1	0.0079	5.8e-15
SDS89253.1	0.0081	1.2e-20
QTD36214.1	0.0081	8.7e-12
ULR42354.1	0.0083	3.2999999999999998e-43
UKR53176.1	0.0083	5.6e-14
ANK94997.1	0.0084	2.4e-44
ANL01049.1	0.0084	2.4e-44
ANL07172.1	0.0084	2.4e-44
ANL13341.1	0.0084	2.4e-44
ANL25325.1	0.0084	2.4e-44
ANM38014.1	0.0084	2.4e-44
ANM44166.1	0.0084	2.4e-44
ACB63614.1	0.0084	7.7e-13
AVX19599.1	0.0084	6.5e-13
UGV28098.1	0.0085	1.3e-20
ANK87781.1	0.0085	2.6000000000000003e-44
ANL18027.1	0.0085	2.6000000000000003e-44
AFK68913.1	0.0085	7.2e-10
ARO26193.1	0.0086	2.2e-44
AEO43605.1	0.0086	1.4e-12
ARZ75872.1	0.0087	1.8e-12
BBO56910.1	0.0088	5.1e-13
VUC69795.1	0.0088	3.9e-14
QND24687.1	0.0089	1.1e-44
AYA91864.1	0.0089	9.2e-13
UPJ73860.1	0.009	2.1e-08
UPJ81437.1	0.009	2.1e-08
UPJ89231.1	0.009	2.1e-08
UPJ96897.1	0.009	2.1e-08
UPK12502.1	0.009	2.1e-08
UPK18593.1	0.009	2.1e-08
AYV92472.1	0.009	7.2e-13
AEE19177.1	0.0091	3.1e-10
AXT71579.1	0.0091	6.2e-09
UNK61331.1	0.0092	2.2e-10
ACD60907.1	0.0092	4.3e-13
ADQ05112.1	0.0093	1.1e-08
BBH95632.1	0.0094	2.6e-21
QAT88001.1	0.0094	2.2e-06
AEX22966.1	0.0096	6.2e-09
QGU94997.1	0.0097	3.7e-12
UDC71188.1	0.0098	3.2e-14
AOS18013.1	0.0098	7.1e-14
BCE23745.1	0.0098	2.8000000000000004e-22
BCE50005.1	0.0098	2.8000000000000004e-22
BCE93513.1	0.0098	2.8000000000000004e-22
BCF28449.1	0.0098	2.8000000000000004e-22
AAW74178.1	0.0099	2e-13
AJQ84624.1	0.0099	2e-13
ALZ73242.1	0.0099	2e-13
AOS01409.1	0.0099	2e-13
AOS07870.1	0.0099	2e-13
AOS12050.1	0.0099	2e-13
AOS16228.1	0.0099	2e-13
AOS26339.1	0.0099	2e-13
AWK21003.1	0.0099	2e-13
AXI16620.1	0.0099	2e-13
AXI20585.1	0.0099	2e-13
AXM08819.1	0.0099	2e-13
AXM16320.1	0.0099	2e-13
AXM20091.1	0.0099	2e-13
AXM23960.1	0.0099	2e-13
AXM29692.1	0.0099	2e-13
AXM33576.1	0.0099	2e-13
AXM35254.1	0.0099	2e-13
AXN20222.1	0.0099	2e-13
AXX66351.1	0.0099	2e-13
AZK82453.1	0.0099	2e-13
BAE67603.1	0.0099	2e-13
QBA15619.1	0.0099	2e-13
QBN86082.1	0.0099	2e-13
QBN89841.1	0.0099	2e-13
QBN93750.1	0.0099	2e-13
QBN99810.1	0.0099	2e-13
QBO01485.1	0.0099	2e-13
QBO05334.1	0.0099	2e-13
QBO09114.1	0.0099	2e-13
QBO12906.1	0.0099	2e-13
QBO16690.1	0.0099	2e-13
QBO20486.1	0.0099	2e-13
QIE14889.1	0.0099	2e-13
QIE20958.1	0.0099	2e-13
QIF22603.1	0.0099	2e-13
QUW75784.1	0.0099	2e-13
UEG98119.1	0.0099	2e-13
UEQ24415.1	0.0099	2e-13
AQU44331.1	0.0099	2.3e-13
AXM41306.1	0.0099	2.3e-13
QBA10157.1	0.0099	2.3e-13
QGN63353.1	0.0099	2.3e-13
UEQ19405.1	0.0099	2.3e-13
AOS22169.1	0.01	3e-13
AOS30508.1	0.01	3e-13
AXM12603.1	0.01	3e-13
QYR62064.1	0.01	1.1e-15
VEA69295.1	0.01	5.5e-11
VEI21822.1	0.01	5.5e-11
QDV41325.1	0.01	1.9e-08
QNP41553.1	0.01	2.1e-15
AXQ08309.1	0.01	2.9e-13
AXQ74281.1	0.01	2.9e-13
AZK86284.1	0.01	2.9e-13
QEJ69069.1	0.01	2.9e-13
QQD48498.1	0.01	2.9e-13
AFZ44518.1	0.01	2.6e-07
ANE32058.1	0.01	9.6e-08
QKF55220.1	0.01	9.6e-08
BDE69219.1	0.01	7.4e-96
QDV73375.1	0.01	4.4e-06
QDV77892.1	0.01	4.4e-06
ANM31524.1	0.011	1.8e-14
AGS23956.1	0.011	1.1999999999999999e-43
ARQ12240.1	0.011	6.100000000000001e-44
AMO46557.1	0.011	2.7e-06
QZY37057.1	0.011	1.8e-09
BAK37920.1	0.011	6.4e-16
AQT78580.1	0.011	2.9e-07
QSZ24980.1	0.011	2.3999999999999997e-41
QDW49931.1	0.012	5.5e-13
QGL81818.1	0.012	2e-12
QNG79144.1	0.012	2e-12
ULK99210.1	0.012	1.9e-22
ALI01947.1	0.012	4.1e-09
AWH50761.1	0.012	1.6e-13
UHH08749.1	0.012	4.6e-14
ALJ00318.1	0.012	4.7e-08
AYN18278.1	0.012	1.1e-08
AYN98023.1	0.012	1.1e-08
ABQ90753.1	0.012	4.3e-13
QIO62620.1	0.012	2.3999999999999998e-43
UOV06746.1	0.012	8.9e-14
UOV08358.1	0.012	8.9e-14
AYZ33652.1	0.012	5.9e-13
QKD82137.1	0.013	3.4e-06
AFN34730.1	0.013	5.2e-13
AOV14684.1	0.013	5.2e-13
QNE51509.1	0.013	5.2e-13
QTN55475.1	0.013	5.2e-13
UHD32147.1	0.013	5.2e-13
ULF58525.1	0.013	5.2e-13
ULF64399.1	0.013	5.2e-13
UNF65499.1	0.013	5.2e-13
CAK03764.1	0.013	6e-43
ANE33874.1	0.013	3.3e-13
ARV61789.1	0.013	1.3e-07
UPW20223.1	0.013	2.3e-08
VEI63314.1	0.013	6e-07
AYF46473.1	0.013	3.9e-08
QTV19428.1	0.013	3.9e-08
ATX76633.1	0.013	5e-21
APX89011.1	0.013	2.2e-08
AKJ43962.1	0.013	1.6e-07
AHG48653.1	0.013	5.4e-43
QYU67082.1	0.014	4.3e-09
AYZ30480.1	0.014	3.2e-10
QOW23235.1	0.014	1.8e-15
ADK13606.1	0.014	1e-06
QXE36425.1	0.014	1.9e-17
QIO69981.1	0.015	5.9e-43
ACQ91661.1	0.015	1.3999999999999999e-114
QDU40121.1	0.015	8.3e-14
ABD79416.1	0.015	4.6e-11
CCH14049.1	0.015	3.7e-13
ARU60504.1	0.015	2.2e-11
QOW25699.1	0.015	3.6e-15
UQR60692.1	0.016	1.2e-23
QZK90348.1	0.016	7e-20
ARJ41991.1	0.016	3.5e-06
CBK42559.1	0.016	6.1e-07
ADZ88225.1	0.016	1.7e-08
ABQ91936.1	0.016	2.8e-08
ARP96986.1	0.016	4.2e-77
UPK34846.1	0.016	1.7e-08
QLO22641.1	0.016	4.4e-13
AVP97681.1	0.016	6.4e-12
AGP46486.1	0.016	2.8e-08
ANK00914.1	0.016	2.8e-08
UJE01637.1	0.016	2.8e-08
BBM84166.1	0.016	9.5e-12
ASK77166.1	0.016	9.2e-12
ASZ59288.1	0.016	9.2e-12
AUW01720.1	0.016	9.2e-12
SDP60712.1	0.017	2.2e-07
AVY94144.1	0.017	9.4e-76
ULT70269.1	0.017	2e-07
AFV10475.1	0.017	3.7e-09
QKK27196.1	0.017	1.3e-42
UED70647.1	0.017	1.7e-11
QLP45354.1	0.017	6.6e-13
AIK44201.1	0.017	1.6e-06
QFP64000.1	0.017	1.6e-06
QOD64925.1	0.017	1.6e-06
AXG99200.1	0.017	1.4e-06
QTK46847.1	0.017	3.3e-14
ALA83833.1	0.017	1.3e-13
BBX70980.1	0.017	1.5e-06
AEG15652.1	0.018	2.1e-06
QHO88571.1	0.018	7.7e-13
QPQ11286.1	0.018	7.7e-13
UPI87490.1	0.018	7.7e-13
QCX01859.1	0.018	1.3e-09
QLC74738.1	0.018	2.1e-07
BAV34962.1	0.018	3.7e-24
AVO31897.1	0.018	2.8e-13
AJR07220.1	0.018	1.3999999999999998e-41
AGJ88564.1	0.018	1.3e-13
BDA52475.1	0.018	1.3e-13
CAH3324919.1	0.018	1.3e-13
QLJ44397.1	0.018	1.3e-13
QNU67496.1	0.018	3e-11
ATE60931.1	0.019	2e-08
AKG68828.1	0.019	1.9e-07
QYX80318.1	0.019	5.2e-06
AIC31553.1	0.019	3.4999999999999996e-43
AJC83512.1	0.019	3.4999999999999996e-43
BBV99361.1	0.019	5.9e-09
QOD13011.1	0.02	2.4e-06
ANL44329.1	0.02	2.6e-45
ANL63293.1	0.02	2.6e-45
ANM07868.1	0.02	2.6e-45
QPK13043.1	0.02	2.6e-45
BAU23916.1	0.021	2.2e-08
APZ95797.1	0.021	1.1e-10
CAE6911583.1	0.021	3.9e-06
ADQ14833.1	0.021	6.8e-16
AHI32139.1	0.021	9.3e-07
ACK65417.1	0.021	8.9e-06
UDC55108.1	0.021	6e-14
UFW73404.1	0.021	2.3e-08
AIM60219.1	0.021	2.5e-09
AEX02909.1	0.021	5.8e-13
AHW86333.1	0.021	5.8e-13
AID92883.1	0.021	5.8e-13
AIE67721.1	0.021	5.8e-13
AKL33838.1	0.021	5.8e-13
APM32217.1	0.021	5.8e-13
ARB22817.1	0.021	5.8e-13
AUV89738.1	0.021	5.8e-13
AUW11769.1	0.021	5.8e-13
AVE80077.1	0.021	5.8e-13
QAS65143.1	0.021	5.8e-13
QET49397.1	0.021	5.8e-13
QFI03599.1	0.021	5.8e-13
QQO69066.1	0.021	5.8e-13
QTH51533.1	0.021	5.8e-13
QUG47099.1	0.021	5.8e-13
QZG73347.1	0.021	5.8e-13
UDV47458.1	0.021	5.8e-13
UHC87443.1	0.021	5.8e-13
UIU19532.1	0.021	5.8e-13
UKS47057.1	0.021	5.8e-13
UON96517.1	0.021	5.8e-13
UFW41026.1	0.021	9.2e-09
UJJ54316.1	0.022	1e-13
AEJ43231.1	0.022	4.1e-10
ULB34405.1	0.022	1.2e-09
SHH62747.1	0.022	5.6e-20
AFL75859.1	0.023	5.8e-13
AWZ47522.1	0.023	3.8e-11
ASM38470.1	0.023	5.4e-09
UEX77345.1	0.023	4.2e-08
ABC93047.1	0.023	1.2999999999999998e-43
ARQ62294.1	0.023	2.8e-43
AQT92180.1	0.023	1.4e-09
UMY49949.1	0.023	1.4e-09
AND92509.1	0.023	5.6e-09
AWO94371.1	0.023	5.6e-09
BAC52836.1	0.023	5.6e-09
BBZ98421.1	0.023	5.6e-09
BCA07435.1	0.023	5.6e-09
BCA16108.1	0.023	5.6e-09
BCA24788.1	0.023	5.6e-09
BCE25527.1	0.023	5.6e-09
BCE34282.1	0.023	5.6e-09
BCE42942.1	0.023	5.6e-09
BCE51786.1	0.023	5.6e-09
BCE60520.1	0.023	5.6e-09
BCE69204.1	0.023	5.6e-09
BCE77867.1	0.023	5.6e-09
BCE86485.1	0.023	5.6e-09
BCE95282.1	0.023	5.6e-09
BCF03907.1	0.023	5.6e-09
BCF12589.1	0.023	5.6e-09
BCF21360.1	0.023	5.6e-09
BCF30228.1	0.023	5.6e-09
BCF38821.1	0.023	5.6e-09
BCF47593.1	0.023	5.6e-09
BCF56343.1	0.023	5.6e-09
BCF64935.1	0.023	5.6e-09
BCF73750.1	0.023	5.6e-09
QBP26313.1	0.023	5.6e-09
QLD40841.1	0.023	5.6e-09
BAR55487.1	0.023	5.6e-09
UOZ10690.1	0.023	2e-19
AXN32105.1	0.024	1.3000000000000001e-71
ANL31376.1	0.024	1.2e-45
ANL56828.1	0.024	1.2e-45
ANL88601.1	0.024	1.2e-45
ANL95110.1	0.024	1.2e-45
ARM15585.1	0.024	1.2e-45
AKS41029.1	0.024	3.8e-70
QDV84649.1	0.024	1.1e-06
ATS22412.1	0.024	4.1e-13
ATS25319.1	0.024	4.1e-13
ATS31161.1	0.024	4.1e-13
ATS33569.1	0.024	4.1e-13
AZU14504.1	0.024	4.1e-13
AZU27264.1	0.024	4.1e-13
AZU31604.1	0.024	4.1e-13
AZU36029.1	0.024	4.1e-13
QTK94508.1	0.024	4.1e-13
QWN25890.1	0.024	4.1e-13
QWN27954.1	0.024	4.1e-13
QWN34208.1	0.024	4.1e-13
UNW13512.1	0.024	4.1e-13
QNO45283.1	0.024	3.5e-16
QTA79470.1	0.024	1e-06
UFW39707.1	0.024	1.1e-26
AIA31706.1	0.024	8.6e-07
UNB51889.1	0.025	1.4e-10
AWI10397.1	0.025	6.1e-06
QPA29702.1	0.025	3.2e-06
QTN03990.1	0.025	3.2e-06
QCO66908.1	0.025	3.1e-14
QYX79960.1	0.025	7e-17
QIM51873.1	0.025	2.1e-07
AHB77185.1	0.025	3.4e-79
AHN74414.1	0.025	3.4e-79
UEM14186.1	0.025	3e-08
ASV76481.1	0.026	3.3e-11
QOW20722.1	0.026	1e-14
ACV58389.1	0.026	2.2e-10
UGQ21499.1	0.026	8.4e-06
QSW14700.1	0.026	7.2e-13
API57266.1	0.026	1.5e-44
BAN36765.1	0.026	1.4e-09
QER56718.1	0.026	1.2e-12
UEQ14387.1	0.026	2.2e-13
APB03464.2	0.027	2.1e-12
ATM24067.1	0.027	2.1e-12
AXC32639.1	0.027	2.1e-12
AYW57371.1	0.027	2.1e-12
QCK80753.1	0.027	2.1e-12
QLK19012.1	0.027	2.1e-12
QLK24062.1	0.027	2.1e-12
QOY63917.1	0.027	2.1e-15
BBM65875.1	0.027	2.7000000000000002e-27
BBO59697.1	0.027	1.8e-20
UPK13919.1	0.027	6.6e-26
UPK17166.1	0.027	6.6e-26
UOH19254.1	0.027	1.1999999999999999e-41
VEI66225.1	0.028	1.2e-07
QHI85494.1	0.028	1.2e-12
QTP40295.1	0.028	1.2e-12
UOS98432.1	0.028	1.4e-13
QEX78433.1	0.028	5.2e-14
UJO03521.1	0.028	5.2e-14
UJO09149.1	0.028	5.2e-14
UJY95666.1	0.028	5.2e-14
UQP92779.1	0.028	5.2e-14
UQQ07765.1	0.028	5.2e-14
AKC79376.1	0.028	7e-14
QDS17221.1	0.028	5e-14
ARO33668.1	0.028	3.6000000000000004e-44
QCB34654.1	0.028	8.7e-13
QGL85918.1	0.028	8.7e-13
VEF34043.1	0.028	7.2e-13
ALW85701.1	0.028	8.8e-11
BDC38949.1	0.029	1.2e-20
QLO75715.1	0.029	1.4e-12
QLT07001.1	0.029	1.4e-12
QOY90869.1	0.029	9.4e-06
AUV14439.1	0.029	6.8e-110
QQP86215.1	0.029	5.2e-09
UMT85383.1	0.029	2.4e-101
UMT86628.1	0.029	2.4e-101
UMT94670.1	0.029	2.4e-101
QWN00704.1	0.029	6.8e-14
QKJ56106.1	0.029	5.7e-13
QLP34087.1	0.029	5.7e-13
QDX21086.1	0.029	1.5e-81
QXI29028.1	0.03	3.2e-08
AVS69170.1	0.03	2.2e-102
QND18514.1	0.03	9.3e-43
QWG38428.1	0.03	9e-09
QFZ24196.1	0.03	1.4e-12
SDO55335.1	0.03	8.5e-07
QHI70200.1	0.03	3.3e-09
ADO72832.1	0.03	8.7e-10
QDH59133.1	0.03	1.3e-81
ANC45965.1	0.031	1.0000000000000001e-81
UOR06206.1	0.031	1.1e-11
UAY75658.1	0.031	6.5e-15
BBJ02805.1	0.032	4.9e-52
ALR36013.1	0.032	1.3e-79
UHD04254.1	0.032	5.3e-13
BAC90514.1	0.033	1.5e-09
ARI11003.1	0.033	2.2e-12
QLO50148.1	0.033	2.2e-12
QLU02540.1	0.033	2.2e-12
QLU74962.1	0.033	2.2e-12
VTS23774.1	0.033	2.2e-12
CUV24093.1	0.033	6.3e-08
CUV32399.1	0.033	6.3e-08
CUV38879.1	0.033	6.3e-08
CUV58950.1	0.033	6.3e-08
AJH75536.1	0.034	6.1e-09
QIE36263.1	0.034	6.1e-09
QKH58410.1	0.034	6.1e-09
QJX48070.1	0.034	1.3e-09
UOQ82472.1	0.034	1.3e-09
QLN45763.1	0.034	1.1e-12
QLP05664.1	0.034	1.1e-12
QLP39758.1	0.034	1.1e-12
QLT62426.1	0.034	1.1e-12
QLU22504.1	0.034	1.1e-12
QLU54420.1	0.034	1.1e-12
QTP46393.1	0.034	1.1e-12
QXW39733.1	0.034	1.1e-12
CAR52706.1	0.034	8.2e-06
QNN03721.1	0.034	8.2e-06
QLN76215.1	0.034	1.3e-12
ALV25155.1	0.034	1.6e-08
QPF73698.1	0.034	2.8e-09
SEI09679.1	0.035	6.5e-09
UNK42862.1	0.035	1.4e-16
UIJ84337.1	0.035	1.3000000000000002e-44
ADJ49108.1	0.035	8.7e-18
AEK46069.1	0.035	8.7e-18
AFO80816.1	0.035	8.7e-18
AGT87944.1	0.035	8.7e-18
CUV30746.1	0.035	7.5e-08
AIO48778.1	0.035	6.9e-06
AMU06330.1	0.035	6.9e-06
AQQ21088.1	0.035	6.9e-06
AQQ43198.1	0.035	6.9e-06
CRH08068.1	0.036	9.5e-15
ATB40970.1	0.036	3.6e-11
APO56546.1	0.036	5.6e-09
QIO94720.1	0.036	5.6e-09
UFW59338.1	0.036	5.6e-09
UQD89104.1	0.036	5.6e-09
UPJ28397.1	0.036	5.9e-08
UNF13021.1	0.036	5.9e-12
AST87427.1	0.036	1.1e-07
AXW39396.1	0.036	1.1e-07
AXW72173.1	0.036	1.1e-07
CUV17791.1	0.036	1.1e-07
QKL57920.1	0.036	1.1e-07
QKL62670.1	0.036	1.1e-07
QKL67476.1	0.036	1.1e-07
QKL93322.1	0.036	1.1e-07
QKL98397.1	0.036	1.1e-07
QKM33966.1	0.036	1.1e-07
QKM38956.1	0.036	1.1e-07
QKM43706.1	0.036	1.1e-07
QLR08284.1	0.036	1.1e-07
UNJ29209.1	0.036	1.1e-07
AJH21699.1	0.037	9.8e-09
QQA17503.1	0.037	9.8e-09
QWH05759.1	0.037	9.8e-09
QWH96532.1	0.037	9.8e-09
QWI21343.1	0.037	9.8e-09
QWI37277.1	0.037	9.8e-09
QHI80055.1	0.037	1.1e-12
QNQ52897.1	0.037	2.6e-06
ALV56183.1	0.037	7.4e-06
UPL50383.1	0.038	4.2e-13
BBQ13319.1	0.038	7.8e-14
QBL43680.1	0.038	7.8e-14
QEU31994.1	0.038	7.8e-14
QGM11367.1	0.038	7.8e-14
QNG73619.1	0.038	7.8e-14
AVS83607.1	0.038	4.9e-102
AVS87031.1	0.038	8.099999999999999e-102
AVS92691.1	0.038	4.9e-102
AVS94859.1	0.038	8.099999999999999e-102
AVT01206.1	0.038	8.099999999999999e-102
AVT08276.1	0.038	8.099999999999999e-102
AVT18819.1	0.038	4.9e-102
AVH91914.1	0.038	7.7e-14
AWT18413.1	0.038	1.9e-12
QLT85967.1	0.038	1.9e-12
QQQ24544.1	0.038	1.9e-12
QID40523.1	0.038	3.5e-14
QBG10991.1	0.038	4.9e-11
AVR35532.1	0.039	9.6e-14
ARM90578.1	0.039	6.199999999999999e-43
AOA73516.1	0.039	4.2e-16
UQY89671.1	0.04	9.2e-15
APD48209.1	0.04	9.8e-08
AIL06177.1	0.04	8.4e-14
CAQ47335.1	0.04	8.4e-14
QNG83673.1	0.04	8.4e-14
QNG93670.1	0.04	8.4e-14
SNW13456.1	0.04	8.4e-14
SQG68879.1	0.04	8.4e-14
UBB20841.1	0.04	8.4e-14
AVO80288.1	0.04	3.3e-12
UOQ76724.1	0.04	8.8e-13
QPW07852.1	0.041	2.4e-13
UKL42061.1	0.041	2.4e-13
VEB86226.1	0.041	2.4e-13
AVU37241.1	0.041	2.8e-12
AVU42325.1	0.041	2.8e-12
QIO77165.1	0.041	3.3e-44
QIO84185.1	0.041	3.3e-44
ATD27825.1	0.041	6.6e-07
APC16272.1	0.041	4e-06
QNP72637.1	0.042	3e-20
UHC77382.1	0.042	6.4e-12
UHC94461.1	0.042	6.4e-12
AKJ07397.1	0.042	3.9e-13
UKK41837.1	0.043	4.6e-13
SAY43982.1	0.043	4.9e-13
QQQ41791.1	0.043	3.8e-13
BBH88562.1	0.043	1.1e-16
BAU44662.1	0.044	2.4e-06
QRF12756.1	0.044	1.8e-13
UDD40517.1	0.044	1.8e-13
USB41320.1	0.044	1.8e-13
UAA04905.1	0.044	1e-13
URR18283.1	0.044	1e-13
QZT56420.1	0.044	6.9e-11
BCL59431.1	0.044	1.8e-08
UEQ06161.1	0.044	1.3e-101
AYZ55127.1	0.044	3.2e-11
UGB11929.1	0.044	2.4e-14
SQG11871.1	0.045	5.8e-14
VEI65621.1	0.045	6.9e-06
AKL07363.1	0.046	7.3e-12
AKL24290.1	0.046	7.3e-12
